time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.41797e-05	936.837
1	2.41797e-05	5.24639e-05	936.837
2	5.24639e-05	8.55494e-05	1553.42
3	8.55494e-05	0.000124251	1430.67
4	0.000124251	0.000169522	1378.72
5	0.000169522	0.000222479	1162.8
6	0.000222479	0.000284424	814.092
7	0.000284424	0.000356885	518.037
8	0.000356885	0.000441645	349.697
9	0.000441645	0.000540794	277.137
10	0.000540794	0.000656774	258.293
11	0.000656774	0.000792441	266.929
12	0.000792441	0.000951138	288.037
13	0.000951138	0.00113677	312.545
14	0.00113677	0.00135392	335.469
15	0.00135392	0.00160793	357.081
16	0.00160793	0.00190505	379.435
17	0.00190505	0.00225261	404.93
18	0.00225261	0.00265918	433.664
19	0.00265918	0.00313475	462.914
20	0.00313475	0.00369105	489.043
21	0.00369105	0.00434179	507.111
22	0.00434179	0.00510299	512.187
23	0.00510299	0.0059934	503.09
24	0.0059934	0.00703496	481.299
25	0.00703496	0.00825332	449.386
26	0.00825332	0.0096785	408.555
27	0.0096785	0.0113456	325.517
28	0.0113456	0.0132957	325.517
29	0.0132957	0.0155768	0.702035
30	0.0155768	0.0182452	0.702035
31	0.0182452	inf	0.702035
