species1	species2	replicate
1	Sebastes_entomelas	Sebastes_flavidus	1
2	Sebastes_ciliatus	Sebastes_paucispinis	1
3	Sebastes_miniatus	Sebastes_saxicola	1
4	Sebastes_variegatus	Sebastes_zacentrus	1
5	Sebastes_chlorostictus	Sebastes_ensifer	1
6	Sebastes_entomelas	Sebastes_goodei	2
7	Sebastes_proriger	Sebastes_variegatus	2
8	Sebastes_flavidus	Sebastes_melanops	2
9	Sebastes_chlorostictus	Sebastes_saxicola	2
10	Sebastes_chlorostictus	Sebastes_saxicola	3
11	Sebastes_flavidus	Sebastes_proriger	3
12	Sebastes_entomelas	Sebastes_mystinus	3
13	Sebastes_variegatus	Sebastes_zacentrus	3
14	Sebastes_goodei	Sebastes_paucispinis	3
15	Sebastes_levis	Sebastes_miniatus	3
16	Sebastes_entomelas	Sebastes_levis	4
17	Sebastes_ensifer	Sebastes_miniatus	4
18	Sebastes_flavidus	Sebastes_melanops	4
19	Sebastes_caurinus	Sebastes_saxicola	4
20	Sebastes_goodei	Sebastes_paucispinis	4
21	Sebastes_chlorostictus	Sebastes_rosenblatti	4
22	Sebastes_proriger	Sebastes_zacentrus	4
23	Sebastes_entomelas	Sebastes_zacentrus	5
24	Sebastes_levis	Sebastes_rosenblatti	5
25	Sebastes_goodei	Sebastes_paucispinis	5
26	Sebastes_flavidus	Sebastes_melanops	5
27	Sebastes_caurinus	Sebastes_saxicola	5
28	Sebastes_miniatus	Sebastes_paucispinis	6
29	Sebastes_caurinus	Sebastes_elongatus	6
30	Sebastes_proriger	Sebastes_variegatus	6
31	Sebastes_ensifer	Sebastes_rosenblatti	6
32	Sebastes_ciliatus	Sebastes_entomelas	6
33	Sebastes_flavidus	Sebastes_melanops	6
34	Sebastes_chlorostictus	Sebastes_melanops	7
35	Sebastes_proriger	Sebastes_zacentrus	7
36	Sebastes_entomelas	Sebastes_mystinus	7
37	Sebastes_caurinus	Sebastes_elongatus	7
38	Sebastes_goodei	Sebastes_levis	7
39	Sebastes_entomelas	Sebastes_zacentrus	8
40	Sebastes_chlorostictus	Sebastes_levis	8
41	Sebastes_flavidus	Sebastes_melanops	8
42	Sebastes_caurinus	Sebastes_elongatus	8
43	Sebastes_goodei	Sebastes_paucispinis	8
44	Sebastes_levis	Sebastes_proriger	9
45	Sebastes_caurinus	Sebastes_saxicola	9
46	Sebastes_goodei	Sebastes_paucispinis	9
47	Sebastes_chlorostictus	Sebastes_miniatus	9
48	Sebastes_ciliatus	Sebastes_mystinus	9
49	Sebastes_variegatus	Sebastes_zacentrus	9
50	Sebastes_flavidus	Sebastes_melanops	9
51	Sebastes_levis	Sebastes_melanops	10
52	Sebastes_elongatus	Sebastes_miniatus	10
53	Sebastes_chlorostictus	Sebastes_rosenblatti	10
54	Sebastes_proriger	Sebastes_variegatus	10
55	Sebastes_entomelas	Sebastes_mystinus	10
56	Sebastes_goodei	Sebastes_paucispinis	10
57	Sebastes_caurinus	Sebastes_saxicola	10
58	Sebastes_ensifer	Sebastes_saxicola	11
59	Sebastes_goodei	Sebastes_paucispinis	11
60	Sebastes_levis	Sebastes_miniatus	11
61	Sebastes_entomelas	Sebastes_proriger	11
62	Sebastes_chlorostictus	Sebastes_rosenblatti	11
63	Sebastes_flavidus	Sebastes_melanops	11
64	Sebastes_variegatus	Sebastes_zacentrus	11
65	Sebastes_caurinus	Sebastes_saxicola	12
66	Sebastes_flavidus	Sebastes_goodei	12
67	Sebastes_entomelas	Sebastes_mystinus	12
68	Sebastes_proriger	Sebastes_variegatus	12
69	Sebastes_elongatus	Sebastes_miniatus	12
70	Sebastes_chlorostictus	Sebastes_ensifer	12
71	Sebastes_goodei	Sebastes_melanops	13
72	Sebastes_caurinus	Sebastes_miniatus	13
73	Sebastes_proriger	Sebastes_zacentrus	13
74	Sebastes_entomelas	Sebastes_mystinus	13
75	Sebastes_chlorostictus	Sebastes_rosenblatti	13
76	Sebastes_ensifer	Sebastes_paucispinis	14
77	Sebastes_melanops	Sebastes_proriger	14
78	Sebastes_chlorostictus	Sebastes_rosenblatti	14
79	Sebastes_elongatus	Sebastes_saxicola	14
80	Sebastes_entomelas	Sebastes_mystinus	14
81	Sebastes_variegatus	Sebastes_zacentrus	14
82	Sebastes_caurinus	Sebastes_elongatus	15
83	Sebastes_ensifer	Sebastes_zacentrus	15
84	Sebastes_melanops	Sebastes_mystinus	15
85	Sebastes_levis	Sebastes_paucispinis	15
86	Sebastes_chlorostictus	Sebastes_rosenblatti	15
87	Sebastes_ciliatus	Sebastes_miniatus	16
88	Sebastes_chlorostictus	Sebastes_saxicola	16
89	Sebastes_entomelas	Sebastes_flavidus	16
90	Sebastes_proriger	Sebastes_variegatus	16
91	Sebastes_levis	Sebastes_paucispinis	16
92	Sebastes_elongatus	Sebastes_melanops	17
93	Sebastes_chlorostictus	Sebastes_rosenblatti	17
94	Sebastes_proriger	Sebastes_variegatus	17
95	Sebastes_entomelas	Sebastes_mystinus	17
96	Sebastes_goodei	Sebastes_levis	17
97	Sebastes_caurinus	Sebastes_saxicola	17
98	Sebastes_melanops	Sebastes_miniatus	18
99	Sebastes_caurinus	Sebastes_chlorostictus	18
100	Sebastes_variegatus	Sebastes_zacentrus	18
101	Sebastes_goodei	Sebastes_levis	18
102	Sebastes_entomelas	Sebastes_mystinus	18
103	Sebastes_ensifer	Sebastes_levis	19
104	Sebastes_flavidus	Sebastes_melanops	19
105	Sebastes_entomelas	Sebastes_variegatus	19
106	Sebastes_caurinus	Sebastes_elongatus	19
107	Sebastes_goodei	Sebastes_paucispinis	19
108	Sebastes_chlorostictus	Sebastes_rosenblatti	19
109	Sebastes_ensifer	Sebastes_levis	20
110	Sebastes_melanops	Sebastes_zacentrus	20
111	Sebastes_chlorostictus	Sebastes_rosenblatti	20
112	Sebastes_elongatus	Sebastes_saxicola	20
113	Sebastes_goodei	Sebastes_paucispinis	20
114	Sebastes_entomelas	Sebastes_mystinus	20
115	Sebastes_ciliatus	Sebastes_miniatus	21
116	Sebastes_goodei	Sebastes_levis	21
117	Sebastes_ensifer	Sebastes_rosenblatti	21
118	Sebastes_variegatus	Sebastes_zacentrus	21
119	Sebastes_flavidus	Sebastes_melanops	21
120	Sebastes_caurinus	Sebastes_saxicola	21
121	Sebastes_entomelas	Sebastes_mystinus	21
122	Sebastes_elongatus	Sebastes_goodei	22
123	Sebastes_chlorostictus	Sebastes_rosenblatti	22
124	Sebastes_entomelas	Sebastes_zacentrus	22
125	Sebastes_flavidus	Sebastes_melanops	22
126	Sebastes_caurinus	Sebastes_saxicola	22
127	Sebastes_caurinus	Sebastes_elongatus	23
128	Sebastes_ensifer	Sebastes_miniatus	23
129	Sebastes_melanops	Sebastes_mystinus	23
130	Sebastes_variegatus	Sebastes_zacentrus	23
131	Sebastes_goodei	Sebastes_paucispinis	23
132	Sebastes_chlorostictus	Sebastes_rosenblatti	23
133	Sebastes_levis	Sebastes_proriger	23
134	Sebastes_ciliatus	Sebastes_miniatus	24
135	Sebastes_ensifer	Sebastes_rosenblatti	24
136	Sebastes_entomelas	Sebastes_mystinus	24
137	Sebastes_flavidus	Sebastes_melanops	24
138	Sebastes_goodei	Sebastes_paucispinis	24
139	Sebastes_caurinus	Sebastes_saxicola	24
140	Sebastes_proriger	Sebastes_zacentrus	24
141	Sebastes_flavidus	Sebastes_zacentrus	25
142	Sebastes_elongatus	Sebastes_goodei	25
143	Sebastes_entomelas	Sebastes_mystinus	25
144	Sebastes_chlorostictus	Sebastes_ensifer	25
145	Sebastes_caurinus	Sebastes_saxicola	25
146	Sebastes_miniatus	Sebastes_variegatus	26
147	Sebastes_elongatus	Sebastes_rosenblatti	26
148	Sebastes_goodei	Sebastes_paucispinis	26
149	Sebastes_caurinus	Sebastes_saxicola	26
150	Sebastes_entomelas	Sebastes_flavidus	26
151	Sebastes_chlorostictus	Sebastes_zacentrus	27
152	Sebastes_ciliatus	Sebastes_entomelas	27
153	Sebastes_caurinus	Sebastes_saxicola	27
154	Sebastes_goodei	Sebastes_paucispinis	27
155	Sebastes_flavidus	Sebastes_melanops	27
156	Sebastes_flavidus	Sebastes_proriger	28
157	Sebastes_entomelas	Sebastes_mystinus	28
158	Sebastes_chlorostictus	Sebastes_goodei	28
159	Sebastes_caurinus	Sebastes_elongatus	28
160	Sebastes_variegatus	Sebastes_zacentrus	28
161	Sebastes_mystinus	Sebastes_paucispinis	29
162	Sebastes_ensifer	Sebastes_saxicola	29
163	Sebastes_variegatus	Sebastes_zacentrus	29
164	Sebastes_chlorostictus	Sebastes_rosenblatti	29
165	Sebastes_flavidus	Sebastes_melanops	29
166	Sebastes_levis	Sebastes_saxicola	30
167	Sebastes_ciliatus	Sebastes_variegatus	30
168	Sebastes_ensifer	Sebastes_rosenblatti	30
169	Sebastes_flavidus	Sebastes_mystinus	30
170	Sebastes_goodei	Sebastes_paucispinis	30
171	Sebastes_flavidus	Sebastes_variegatus	31
172	Sebastes_entomelas	Sebastes_mystinus	31
173	Sebastes_elongatus	Sebastes_ensifer	31
174	Sebastes_caurinus	Sebastes_saxicola	31
175	Sebastes_levis	Sebastes_miniatus	31
176	Sebastes_chlorostictus	Sebastes_rosenblatti	31
177	Sebastes_goodei	Sebastes_paucispinis	31
178	Sebastes_miniatus	Sebastes_variegatus	32
179	Sebastes_goodei	Sebastes_levis	32
180	Sebastes_chlorostictus	Sebastes_ensifer	32
181	Sebastes_ciliatus	Sebastes_entomelas	32
182	Sebastes_elongatus	Sebastes_saxicola	32
183	Sebastes_flavidus	Sebastes_melanops	32
184	Sebastes_ensifer	Sebastes_entomelas	33
185	Sebastes_proriger	Sebastes_variegatus	33
186	Sebastes_goodei	Sebastes_levis	33
187	Sebastes_chlorostictus	Sebastes_rosenblatti	33
188	Sebastes_caurinus	Sebastes_saxicola	33
189	Sebastes_flavidus	Sebastes_melanops	33
190	Sebastes_rosenblatti	Sebastes_saxicola	34
191	Sebastes_entomelas	Sebastes_flavidus	34
192	Sebastes_ciliatus	Sebastes_paucispinis	34
193	Sebastes_variegatus	Sebastes_zacentrus	34
194	Sebastes_miniatus	Sebastes_variegatus	35
195	Sebastes_ciliatus	Sebastes_entomelas	35
196	Sebastes_levis	Sebastes_paucispinis	35
197	Sebastes_ensifer	Sebastes_saxicola	35
198	Sebastes_chlorostictus	Sebastes_rosenblatti	35
199	Sebastes_flavidus	Sebastes_melanops	35
200	Sebastes_ensifer	Sebastes_levis	36
201	Sebastes_elongatus	Sebastes_saxicola	36
202	Sebastes_ciliatus	Sebastes_flavidus	36
203	Sebastes_chlorostictus	Sebastes_rosenblatti	36
204	Sebastes_entomelas	Sebastes_mystinus	36
205	Sebastes_proriger	Sebastes_zacentrus	36
206	Sebastes_goodei	Sebastes_paucispinis	36
207	Sebastes_levis	Sebastes_proriger	37
208	Sebastes_goodei	Sebastes_paucispinis	37
209	Sebastes_chlorostictus	Sebastes_elongatus	37
210	Sebastes_entomelas	Sebastes_melanops	37
211	Sebastes_variegatus	Sebastes_zacentrus	37
212	Sebastes_caurinus	Sebastes_saxicola	37
213	Sebastes_melanops	Sebastes_mystinus	38
214	Sebastes_proriger	Sebastes_saxicola	38
215	Sebastes_chlorostictus	Sebastes_ensifer	38
216	Sebastes_variegatus	Sebastes_zacentrus	38
217	Sebastes_goodei	Sebastes_paucispinis	38
218	Sebastes_entomelas	Sebastes_miniatus	39
219	Sebastes_goodei	Sebastes_levis	39
220	Sebastes_elongatus	Sebastes_ensifer	39
221	Sebastes_chlorostictus	Sebastes_rosenblatti	39
222	Sebastes_variegatus	Sebastes_zacentrus	39
223	Sebastes_flavidus	Sebastes_melanops	39
224	Sebastes_caurinus	Sebastes_saxicola	39
225	Sebastes_ciliatus	Sebastes_entomelas	40
226	Sebastes_miniatus	Sebastes_rosenblatti	40
227	Sebastes_levis	Sebastes_zacentrus	40
228	Sebastes_caurinus	Sebastes_elongatus	40
229	Sebastes_flavidus	Sebastes_melanops	40
230	Sebastes_goodei	Sebastes_paucispinis	40
231	Sebastes_saxicola	Sebastes_zacentrus	41
232	Sebastes_ciliatus	Sebastes_flavidus	41
233	Sebastes_levis	Sebastes_paucispinis	41
234	Sebastes_chlorostictus	Sebastes_ensifer	41
235	Sebastes_entomelas	Sebastes_mystinus	41
236	Sebastes_chlorostictus	Sebastes_flavidus	42
237	Sebastes_entomelas	Sebastes_mystinus	42
238	Sebastes_goodei	Sebastes_paucispinis	42
239	Sebastes_elongatus	Sebastes_saxicola	42
240	Sebastes_proriger	Sebastes_zacentrus	42
241	Sebastes_caurinus	Sebastes_flavidus	43
242	Sebastes_ensifer	Sebastes_rosenblatti	43
243	Sebastes_proriger	Sebastes_variegatus	43
244	Sebastes_levis	Sebastes_paucispinis	43
245	Sebastes_entomelas	Sebastes_mystinus	43
246	Sebastes_chlorostictus	Sebastes_ciliatus	44
247	Sebastes_entomelas	Sebastes_melanops	44
248	Sebastes_caurinus	Sebastes_saxicola	44
249	Sebastes_proriger	Sebastes_zacentrus	44
250	Sebastes_goodei	Sebastes_levis	44
251	Sebastes_chlorostictus	Sebastes_zacentrus	45
252	Sebastes_goodei	Sebastes_paucispinis	45
253	Sebastes_elongatus	Sebastes_saxicola	45
254	Sebastes_entomelas	Sebastes_melanops	45
255	Sebastes_ciliatus	Sebastes_elongatus	46
256	Sebastes_proriger	Sebastes_variegatus	46
257	Sebastes_caurinus	Sebastes_saxicola	46
258	Sebastes_entomelas	Sebastes_mystinus	46
259	Sebastes_flavidus	Sebastes_melanops	46
260	Sebastes_goodei	Sebastes_levis	46
261	Sebastes_chlorostictus	Sebastes_ensifer	46
262	Sebastes_entomelas	Sebastes_levis	47
263	Sebastes_ensifer	Sebastes_saxicola	47
264	Sebastes_flavidus	Sebastes_melanops	47
265	Sebastes_proriger	Sebastes_zacentrus	47
266	Sebastes_chlorostictus	Sebastes_rosenblatti	47
267	Sebastes_goodei	Sebastes_paucispinis	47
268	Sebastes_ciliatus	Sebastes_saxicola	48
269	Sebastes_entomelas	Sebastes_flavidus	48
270	Sebastes_chlorostictus	Sebastes_rosenblatti	48
271	Sebastes_proriger	Sebastes_variegatus	48
272	Sebastes_levis	Sebastes_paucispinis	48
273	Sebastes_paucispinis	Sebastes_zacentrus	49
274	Sebastes_entomelas	Sebastes_mystinus	49
275	Sebastes_chlorostictus	Sebastes_elongatus	49
276	Sebastes_caurinus	Sebastes_saxicola	49
277	Sebastes_flavidus	Sebastes_melanops	49
278	Sebastes_flavidus	Sebastes_melanops	50
279	Sebastes_variegatus	Sebastes_zacentrus	50
280	Sebastes_ciliatus	Sebastes_entomelas	50
281	Sebastes_goodei	Sebastes_proriger	50
282	Sebastes_elongatus	Sebastes_rosenblatti	50
283	Sebastes_caurinus	Sebastes_saxicola	50
284	Sebastes_miniatus	Sebastes_saxicola	51
285	Sebastes_goodei	Sebastes_paucispinis	51
286	Sebastes_proriger	Sebastes_zacentrus	51
287	Sebastes_ensifer	Sebastes_rosenblatti	51
288	Sebastes_flavidus	Sebastes_mystinus	51
289	Sebastes_ciliatus	Sebastes_levis	51
290	Sebastes_ciliatus	Sebastes_paucispinis	52
291	Sebastes_chlorostictus	Sebastes_elongatus	52
292	Sebastes_flavidus	Sebastes_mystinus	52
293	Sebastes_caurinus	Sebastes_saxicola	52
294	Sebastes_variegatus	Sebastes_zacentrus	52
295	Sebastes_goodei	Sebastes_levis	53
296	Sebastes_flavidus	Sebastes_proriger	53
297	Sebastes_chlorostictus	Sebastes_ensifer	53
298	Sebastes_variegatus	Sebastes_zacentrus	53
299	Sebastes_entomelas	Sebastes_mystinus	53
300	Sebastes_caurinus	Sebastes_miniatus	53
301	Sebastes_elongatus	Sebastes_zacentrus	54
302	Sebastes_goodei	Sebastes_paucispinis	54
303	Sebastes_caurinus	Sebastes_saxicola	54
304	Sebastes_flavidus	Sebastes_melanops	54
305	Sebastes_ciliatus	Sebastes_entomelas	54
306	Sebastes_ensifer	Sebastes_rosenblatti	54
307	Sebastes_levis	Sebastes_saxicola	55
308	Sebastes_mystinus	Sebastes_variegatus	55
309	Sebastes_ensifer	Sebastes_rosenblatti	55
310	Sebastes_flavidus	Sebastes_melanops	55
311	Sebastes_goodei	Sebastes_paucispinis	55
312	Sebastes_ciliatus	Sebastes_ensifer	56
313	Sebastes_flavidus	Sebastes_melanops	56
314	Sebastes_entomelas	Sebastes_mystinus	56
315	Sebastes_goodei	Sebastes_paucispinis	56
316	Sebastes_chlorostictus	Sebastes_rosenblatti	56
317	Sebastes_proriger	Sebastes_zacentrus	56
318	Sebastes_caurinus	Sebastes_elongatus	56
319	Sebastes_caurinus	Sebastes_zacentrus	57
320	Sebastes_ciliatus	Sebastes_entomelas	57
